Rank 	Name 	Population
1 	Smith 	2,772,200
2 	Johnson 	2,232,100
3 	Williams 	1,926,200
4 	Jones 	1,711,200
5 	Brown 	1,711,200
6 	Davis 	1,322,700
7 	Miller 	1,168,400
8 	Wilson 	934,200
9 	Moore 	859,800
10 	Taylor 	857,000
11 	Anderson 	857,000
12 	Thomas 	857,000
13 	Jackson 	854,200
14 	White 	768,800
15 	Harris 	757,800
16 	Martin 	752,300
17 	Thompson 	741,300
18 	Garcia 	699,900
19 	Martinez 	644,800
20 	Robinson 	642,100
21 	Clark 	636,500
22 	Rodriguez 	631,000
23 	Lewis 	622,800
24 	Lee 	606,200
25 	Walker 	603,500
26 	Hall 	551,100
27 	Allen 	548,400
28 	Young 	531,800
29 	Hernandez 	529,100
30 	King 	523,600
31 	Wright 	520,800
32 	Lopez 	515,300
33 	Hill 	515,300
34 	Scott 	509,800
35 	Green 	504,300
36 	Adams 	479,500
37 	Baker 	471,200
38 	Gonzalez 	457,400
39 	Nelson 	446,400
40 	Carter 	446,400
41 	Mitchell 	440,900
42 	Perez 	427,100
43 	Roberts 	421,600
44 	Turner 	418,900
45 	Phillips 	410,600
46 	Campbell 	410,600
47 	Parker 	402,300
48 	Evans 	388,500
49 	Edwards 	377,500
50 	Collins 	369,300
51 	Stewart 	366,500
52 	Sanchez 	358,200
53 	Morris 	344,500
54 	Rogers 	338,900
55 	Reed 	336,200
56 	Cook 	330,700
57 	Morgan 	325,200
58 	Bell 	322,400
59 	Murphy 	322,400
60 	Bailey 	316,900
61 	Rivera 	311,400
62 	Cooper 	311,400
63 	Richardson 	308,600
64 	Cox 	303,100
65 	Howard 	303,100
66 	Ward 	297,600
67 	Torres 	297,600
68 	Peterson 	294,900
69 	Gray 	292,100
70 	Ramirez 	289,300
71 	James 	289,300
72 	Watson 	283,800
73 	Brooks 	283,800
74 	Kelly 	281,100
75 	Sanders 	275,600
76 	Price 	272,800
77 	Bennett 	272,800
78 	Wood 	270,100
79 	Barnes 	267,300
80 	Ross 	264,500
81 	Henderson 	261,800
82 	Coleman 	261,800
83 	Jenkins 	261,800
84 	Perry 	259,000
85 	Powell 	256,300
86 	Long 	253,500
87 	Patterson 	253,500
88 	Hughes 	253,500
89 	Flores 	253,500
90 	Washington 	253,500
91 	Butler 	250,800
92 	Simmons 	250,800
93 	Foster 	250,800
94 	Gonzales 	239,700
95 	Bryant 	239,700
96 	Alexander 	234,200
97 	Russell 	234,200
98 	Griffin 	231,500
99 	Diaz 	231,500
100 	Hayes 	228,700
